,키,몸무게,연간 음주 빈도,한번 섭취시 음주량,일반담배 하루 흡연량,격렬한 신체활동 일수,중증도 신체활동 일수,걷기 실천 일수,주간 아침식사 일수,체형(5단계)
130,172.0,55.0,4,3,0,1,0,7,0,2
131,171.0,75.0,5,1,0,0,1,7,0,4
132,166.0,54.0,2,1,0,5,4,7,3,3
133,175.0,79.0,3,2,0,1,1,3,2,4
134,168.0,58.0,6,1,0,0,3,4,3,2
135,167.0,56.0,3,3,0,4,2,7,3,3
136,167.0,56.0,4,1,0,1,2,5,2,3
137,158.0,52.0,3,1,0,0,0,3,0,3
138,161.0,53.0,1,0,0,0,0,5,3,3
139,173.0,75.0,4,3,0,1,1,1,3,4
140,162.0,68.0,2,1,0,0,0,5,3,4
141,151.0,62.0,1,0,0,0,5,1,3,4
142,170.0,60.0,1,0,0,0,0,1,3,1
143,165.0,60.0,4,2,0,0,1,4,0,3
144,183.0,87.0,2,1,0,2,4,7,3,4
145,158.0,56.0,2,1,0,5,0,7,3,3
146,165.0,59.0,3,1,0,5,0,1,3,3
147,157.0,59.0,0,0,0,0,0,5,3,4
148,150.0,60.0,1,0,0,0,0,5,3,4
149,176.0,70.0,5,3,0,0,1,3,1,3
150,180.0,80.0,5,3,0,0,0,5,0,4
151,182.0,78.0,3,4,0,3,2,7,3,3
152,166.0,51.0,5,2,0,2,0,0,0,2
153,180.0,88.0,2,1,0,6,6,0,1,3
154,154.0,51.0,4,1,0,0,0,4,3,3
155,155.0,46.0,4,3,2,2,0,7,2,3
156,175.0,80.0,2,3,0,0,3,4,3,4
157,160.0,63.0,4,1,0,0,0,7,3,4
158,163.0,55.0,3,1,0,0,0,7,2,3
159,172.0,63.0,4,2,0,3,3,7,3,3
160,158.0,46.0,1,0,0,0,0,3,2,2
161,165.0,56.0,5,1,0,3,3,6,2,3
162,156.0,47.0,4,3,0,7,7,7,3,2
164,158.0,55.0,2,1,0,0,3,7,3,3
165,155.0,67.0,1,0,0,0,0,1,3,3
166,186.0,82.0,2,2,0,0,0,5,1,3
167,162.0,67.0,0,0,0,0,0,7,2,4
168,180.0,58.0,2,1,10,0,0,1,3,1
169,154.0,49.0,0,0,0,0,0,7,3,4
170,161.0,56.0,3,1,0,1,2,6,2,3
171,165.0,55.0,2,1,0,0,1,7,1,3
172,177.0,80.0,3,3,30,2,2,6,0,4
173,173.0,75.0,6,4,0,4,7,7,1,3
174,161.0,50.0,4,2,0,0,0,7,2,3
175,163.0,55.0,2,1,0,0,0,7,0,3
176,169.0,75.0,4,4,0,3,2,6,3,3
177,155.0,42.0,2,2,0,3,3,7,0,2
178,165.0,70.0,4,4,10,1,1,7,0,4
179,158.0,48.0,3,4,0,1,1,3,1,2
180,174.0,83.0,5,3,0,2,3,6,0,4
181,168.0,71.0,2,2,0,3,3,3,0,3
182,174.0,70.0,3,2,0,3,1,3,2,4
183,163.0,60.0,3,2,0,2,2,2,1,4
184,155.0,55.0,3,2,0,3,3,3,1,2
185,173.0,87.0,4,2,0,0,0,1,3,3
186,173.0,50.0,2,1,10,0,0,2,0,1
187,160.0,52.0,1,0,0,0,0,6,3,3
188,161.0,54.0,1,0,0,0,3,7,3,3
189,158.0,49.0,3,1,0,1,1,5,2,3
190,154.0,51.0,2,1,0,0,0,4,0,3
191,168.0,80.0,4,3,0,2,0,7,3,4
192,160.0,52.0,5,2,0,3,2,2,0,4
193,175.0,66.0,4,2,0,0,0,7,0,3
194,158.0,80.0,3,1,0,0,0,4,0,5
195,178.0,73.0,0,0,0,0,0,5,0,3
196,162.0,50.0,0,0,0,5,0,7,2,2
197,160.0,50.0,1,0,0,2,0,5,0,3
198,165.0,63.0,4,2,0,5,0,7,2,4
199,159.0,53.0,2,1,0,5,5,6,3,3
200,164.0,64.0,4,1,0,6,7,7,3,3
201,177.0,75.0,4,1,0,2,0,7,3,3
202,164.0,45.0,0,0,0,0,0,7,3,2
203,161.0,63.0,4,1,0,0,0,7,3,4
204,181.0,92.0,0,0,20,0,0,5,3,4
205,172.0,70.0,5,2,0,1,0,5,0,4
206,166.0,64.0,3,2,0,1,0,3,3,4
207,164.0,65.0,3,1,0,0,0,5,2,4
208,173.0,80.0,4,3,0,3,3,1,3,4
209,182.0,83.0,4,3,0,1,0,5,0,4
210,164.0,48.0,4,2,0,2,1,1,1,2
211,158.0,63.0,4,1,0,0,6,1,3,3
212,153.0,58.0,1,0,0,0,0,5,3,3
213,178.0,75.0,3,3,20,0,0,7,0,3
214,172.0,71.0,2,1,0,0,0,7,3,3
215,158.0,59.0,0,0,0,0,0,0,3,3
216,178.0,85.0,0,0,0,0,0,7,0,4
217,163.0,45.0,2,1,0,0,6,5,3,2
218,155.0,60.0,3,1,0,0,0,3,3,3
220,150.0,47.0,2,1,0,0,6,7,1,2
221,175.0,62.0,3,2,5,0,2,5,3,2
222,158.0,48.0,2,1,0,0,3,5,3,3
223,163.0,45.0,5,1,0,0,2,5,3,3
224,180.0,73.0,5,1,0,0,0,3,2,3
225,157.0,55.0,4,2,0,0,0,7,3,3
226,153.0,47.0,0,0,0,0,0,7,3,2
227,181.0,77.0,4,4,0,7,0,7,3,3
228,174.0,58.0,4,1,0,1,0,3,3,3
229,179.0,78.0,4,3,6,1,0,2,3,3
230,170.0,68.0,5,4,0,3,0,7,0,3
231,171.0,64.0,5,2,0,7,7,7,3,3
232,159.0,57.0,0,0,0,0,6,7,3,3
233,150.0,48.0,0,0,0,0,0,7,3,2
234,158.0,59.0,4,1,0,0,0,3,0,4
235,177.0,80.0,5,1,0,1,0,3,0,4
236,165.0,50.0,2,1,0,1,1,3,1,2
237,166.0,62.0,4,3,0,0,0,7,3,2
238,158.0,57.0,0,0,0,0,0,7,3,3
239,177.0,66.0,4,2,0,0,0,7,3,2
240,166.0,49.0,3,1,0,0,0,7,3,2
241,160.0,53.0,3,1,0,3,3,3,0,3
242,175.0,68.0,4,3,0,3,3,5,0,2
243,163.0,56.0,5,1,0,0,0,7,0,3
244,160.0,49.0,3,1,0,0,0,5,0,3
245,171.0,63.0,4,1,0,2,2,7,3,3
246,173.0,62.0,1,0,0,0,3,7,3,2
247,159.0,62.0,3,1,0,0,0,6,3,4
248,163.0,42.0,0,0,0,0,0,5,3,1
249,161.0,63.0,4,1,0,0,0,7,0,5
250,174.0,85.0,4,1,0,0,0,7,0,4
251,160.0,55.0,4,1,0,0,5,1,3,3
252,174.0,60.0,5,3,5,0,5,3,3,2
253,175.0,68.0,0,0,0,0,0,5,3,3
254,163.0,65.0,0,0,0,0,0,7,3,4
255,171.0,80.0,2,4,0,2,0,7,0,5
256,180.0,100.0,1,0,0,2,0,7,3,4
257,170.0,58.0,3,3,0,3,0,7,3,3
258,147.0,52.0,0,0,0,0,0,7,3,4
259,173.0,62.0,0,0,0,3,0,7,3,3
260,140.0,38.0,1,0,0,0,0,0,3,3
261,164.0,58.0,1,0,0,2,0,7,3,2
262,160.0,50.0,2,1,0,0,4,7,0,3
263,174.0,73.0,4,4,0,0,6,7,1,3
264,160.0,47.0,3,2,0,0,0,7,0,2
265,181.0,80.0,3,4,0,1,1,7,0,4
266,159.0,57.0,0,0,0,0,0,7,3,3
267,155.0,53.0,0,0,0,0,0,5,3,2
268,159.0,70.0,0,0,0,1,0,7,3,5
269,160.0,52.0,1,0,0,7,0,7,3,3
270,165.0,48.0,4,1,0,4,0,0,3,2
271,172.0,72.0,4,1,0,5,0,5,1,3
272,156.0,60.0,4,1,0,0,0,5,2,4
274,160.0,49.0,3,3,0,0,0,7,1,2
275,176.0,80.0,5,4,0,3,0,7,3,4
276,187.0,60.0,0,0,20,0,0,5,0,1
277,157.0,55.0,0,0,0,0,0,7,3,3
278,155.0,60.0,0,0,0,0,5,5,3,4
279,152.0,46.0,1,0,0,0,0,5,2,3
280,155.0,55.0,0,0,0,0,0,7,3,3
281,163.0,65.0,4,1,0,0,0,1,0,4
282,160.0,45.0,0,0,0,0,0,7,3,2
283,150.0,50.0,0,0,0,0,0,6,3,4
284,175.0,80.0,0,0,0,0,0,6,0,4
285,185.0,90.0,1,0,0,0,0,0,1,4
286,167.0,55.0,5,1,0,0,0,0,1,3
287,172.0,72.0,4,1,0,0,0,2,3,3
288,163.0,58.0,3,1,0,0,3,4,1,3
289,159.0,48.0,0,0,0,0,3,3,0,2
290,166.0,58.0,3,2,0,0,2,5,0,3
291,158.0,60.0,0,0,0,0,0,7,3,4
292,162.0,60.0,1,0,0,0,0,3,2,4
293,184.0,91.0,4,2,0,0,0,1,0,4
295,168.0,64.0,4,1,0,0,2,7,1,3
296,182.0,105.0,5,3,0,0,1,7,0,4
297,150.0,58.0,3,1,0,0,0,7,3,4
298,160.0,62.0,3,1,0,0,0,7,3,4
299,178.0,80.0,3,2,0,3,0,7,0,3
300,170.0,65.0,1,0,0,4,4,7,3,3
301,163.0,50.0,2,3,0,1,1,3,0,3
302,174.0,84.0,3,4,0,1,1,5,1,5
303,160.0,46.0,1,0,0,4,7,7,2,2
304,168.0,76.0,4,4,0,0,0,7,3,3
305,148.0,56.0,0,0,0,0,0,7,3,3
306,158.0,52.0,0,0,0,0,0,7,3,3
307,162.0,51.0,1,0,0,0,0,5,1,2
308,152.0,63.0,4,3,0,0,5,6,3,4
310,182.0,84.0,4,2,0,1,0,2,1,4
311,162.0,66.0,0,0,0,0,0,7,3,4
312,168.0,73.0,6,4,0,0,0,7,0,3
313,144.0,53.0,2,1,0,0,2,7,3,4
314,162.0,60.0,1,0,0,0,0,6,0,4
315,160.0,70.0,4,1,0,0,0,7,0,4
316,166.0,55.0,4,1,0,0,5,5,3,3
317,162.0,70.0,0,0,0,3,0,3,3,4
318,165.0,70.0,4,2,20,0,0,7,3,4
319,162.0,56.0,3,1,0,0,0,7,3,3
320,183.0,85.0,4,2,0,0,0,3,3,3
321,145.0,37.0,0,0,0,0,0,0,3,1
322,178.0,83.0,5,2,0,5,0,5,0,4
323,168.0,64.0,5,2,0,0,0,7,2,3
324,163.0,62.0,4,2,0,0,0,3,1,4
325,173.0,80.0,5,3,0,2,0,7,3,4
326,160.0,58.0,4,1,0,3,7,7,3,4
327,172.0,65.0,4,1,0,0,0,7,3,3
329,160.0,55.0,2,1,0,2,2,7,3,3
330,167.0,78.0,5,4,0,1,1,7,3,4
331,172.0,75.0,4,2,0,0,0,5,3,4
332,158.0,57.0,1,0,0,5,3,6,3,3
333,162.0,67.0,2,1,0,0,0,6,3,4
334,158.0,68.0,0,0,0,3,3,4,3,4
335,156.0,42.0,1,0,0,0,0,7,3,2
336,172.0,68.0,0,0,0,0,6,7,3,3
337,156.0,58.0,0,0,0,0,0,5,3,3
338,157.0,60.0,0,0,0,0,0,6,3,4
339,150.0,47.0,0,0,0,0,0,5,3,2
341,169.0,59.0,6,4,8,3,3,5,3,3
342,170.0,67.0,5,4,10,0,0,3,3,3
343,154.0,54.0,4,3,0,0,0,7,3,3
344,156.0,50.0,1,0,0,0,0,1,3,2
345,170.0,68.0,3,4,10,0,0,4,3,3
346,179.0,74.0,4,1,0,1,0,4,0,2
347,158.0,48.0,5,2,0,2,2,6,0,2
348,158.0,70.0,3,1,0,0,0,7,0,4
349,145.0,50.0,4,1,0,0,0,7,3,3
350,152.0,56.0,0,0,0,0,2,7,3,4
351,175.0,80.0,5,2,10,0,7,7,3,5
353,168.0,67.0,5,1,0,4,4,7,3,4
354,166.0,57.0,5,1,0,1,1,5,3,3
355,178.0,90.0,6,3,0,0,0,2,0,5
356,163.0,54.0,5,2,0,0,0,2,0,3
357,164.0,64.0,2,1,0,0,0,5,3,4
358,156.0,57.0,2,1,0,0,0,4,3,3
359,172.0,70.0,4,3,15,1,1,5,0,3
360,178.0,80.0,2,1,20,0,0,2,3,4
361,160.0,57.0,2,1,0,0,0,5,3,3
362,168.0,66.0,5,2,0,0,0,5,3,4
363,165.0,69.0,1,0,0,2,2,3,3,4
364,170.0,83.0,4,3,0,0,0,7,3,4
365,150.0,54.0,3,1,0,0,0,5,3,4
366,150.0,47.0,4,1,0,0,0,3,3,2
367,160.0,48.0,3,2,0,2,1,4,2,2
368,152.0,53.0,0,0,0,0,0,6,3,3
369,158.0,59.0,3,1,0,0,0,3,3,3
370,172.0,70.0,2,1,0,0,0,5,1,3
371,157.0,49.0,0,0,0,0,0,0,3,2
372,154.0,48.0,0,0,0,0,0,4,3,3
373,176.0,85.0,5,4,20,0,0,5,3,3
374,180.0,76.0,4,3,0,0,0,2,1,3
375,168.0,70.0,5,1,0,3,3,0,3,3
376,150.0,57.0,0,0,0,0,0,3,1,3
377,171.0,56.0,5,1,0,2,1,3,2,3
378,176.0,68.0,4,4,0,2,2,5,0,3
379,168.0,60.0,4,1,0,0,0,2,3,3
380,176.0,75.0,4,1,0,0,0,1,3,4
381,158.0,48.0,5,3,0,2,0,5,3,3
383,157.0,49.0,4,4,0,5,5,7,0,3
385,164.0,78.0,3,2,0,7,7,7,3,4
386,170.0,50.0,4,4,10,0,0,7,0,1
387,182.0,69.0,2,3,0,1,1,7,0,2
388,165.0,51.0,4,2,0,0,0,4,0,3
390,163.0,43.0,5,4,0,2,1,7,0,1
391,172.0,85.0,4,3,0,0,0,7,2,5
