,키,몸무게,연간 음주 빈도,한번 섭취시 음주량,일반담배 하루 흡연량,격렬한 신체활동 일수,중증도 신체활동 일수,걷기 실천 일수,주간 아침식사 일수,체형(5단계)
11895,0.7226277372262773,0.27611940298507465,0.16666666666666666,0.0,0.0,0.2857142857142857,0.42857142857142855,0.7142857142857142,1.0,3
11896,0.7591240875912408,0.31343283582089554,0.6666666666666666,0.5,0.0,0.42857142857142855,0.42857142857142855,0.7142857142857142,1.0,3
11897,0.7372262773722627,0.22388059701492535,0.5,0.25,0.0,0.42857142857142855,0.42857142857142855,0.7142857142857142,1.0,2
11898,0.6715328467153283,0.18656716417910446,0.5,0.25,0.0,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,1
11899,0.8321167883211678,0.42537313432835816,0.8333333333333333,0.75,0.0,0.7142857142857142,0.7142857142857142,0.2857142857142857,0.0,4
11900,0.6934306569343065,0.2014925373134328,0.5,0.25,0.0,0.42857142857142855,0.42857142857142855,1.0,1.0,3
11901,0.7737226277372262,0.2835820895522388,0.6666666666666666,0.25,0.0,0.14285714285714285,0.14285714285714285,1.0,1.0,2
11902,0.7737226277372262,0.27611940298507465,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857142,1.0,3
11903,0.7226277372262773,0.17910447761194032,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857142,0.0,2
11904,0.8540145985401459,0.38805970149253727,0.16666666666666666,0.0,0.0625,0.0,0.0,0.0,1.0,3
11905,0.6496350364963503,0.19402985074626866,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,2
11906,0.8832116788321167,0.3656716417910448,0.16666666666666666,0.0,0.0,0.0,0.0,0.7142857142857142,1.0,3
11907,0.7445255474452555,0.29850746268656714,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,4
11908,0.7591240875912408,0.18656716417910446,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,1.0,1
11909,0.6861313868613139,0.31343283582089554,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.0,4
11910,0.7956204379562044,0.3507462686567164,0.8333333333333333,0.75,0.0,0.0,0.0,0.7142857142857142,0.0,5
11911,0.6642335766423357,0.2014925373134328,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,1.0,1.0,3
11912,0.6788321167883211,0.23880597014925375,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571,1.0,4
11913,0.7445255474452555,0.38805970149253727,0.0,0.0,0.0,0.7142857142857142,0.7142857142857142,0.7142857142857142,1.0,5
11914,0.8175182481751824,0.3432835820895523,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,3
11915,0.7153284671532847,0.27611940298507465,0.5,0.25,0.0,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.3333333333333333,4
11916,0.8540145985401459,0.38805970149253727,0.5,0.25,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.3333333333333333,4
11917,0.6861313868613139,0.12686567164179102,0.5,0.25,0.0,0.0,0.0,1.0,0.6666666666666666,1
11918,0.8321167883211678,0.42537313432835816,1.0,0.25,0.0,0.0,0.7142857142857142,1.0,1.0,4
11919,0.6934306569343065,0.26119402985074625,0.16666666666666666,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,3
11920,0.7956204379562044,0.31343283582089554,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857142,0.6666666666666666,3
11921,0.6861313868613139,0.23134328358208955,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857142,1.0,3
11922,0.781021897810219,0.19402985074626866,0.3333333333333333,0.5,0.125,0.7142857142857142,0.7142857142857142,0.7142857142857142,1.0,1
11923,0.8102189781021898,0.23134328358208955,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857142,0.6666666666666666,2
11924,0.8905109489051095,0.3507462686567164,0.5,0.25,0.0,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.6666666666666666,3
11925,0.7226277372262773,0.17910447761194032,0.3333333333333333,0.25,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857142,0.0,3
